 _____________________________________________________________________________
   IP            At MAC Address     Count     Len  MAC Vendor / Hostname      
 192.168.14.5    70:b7:aa:88:a1:91      1      60  vivo Mobile Communication Co., Ltd.
 192.168.38.72   74:27:ea:62:83:a4      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.5.1     7c:5a:1c:59:39:16      1      60  Sophos Ltd
 192.168.5.22    74:27:ea:18:7d:83      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.5.23    74:27:ea:62:81:1b      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.5.24    c8:9c:dc:e9:8d:47      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.5.200   74:27:ea:62:81:f0      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.5.201   c8:9c:dc:f4:59:53      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.37.1    7c:5a:1c:59:39:1a      1      60  Sophos Ltd
 172.16.26.239   00:71:c2:08:92:0e      1      60  PEGATRON CORPORATION
 192.168.52.223  20:34:fb:4a:99:13      1      60  Xiaomi Communications Co Ltd
 192.168.8.1     7c:5a:1c:59:39:19      1      60  Sophos Ltd
 192.168.8.6     68:72:51:58:9f:81      1      60  Ubiquiti Networks Inc.
 192.168.8.13    68:72:51:2a:a0:88      1      60  Ubiquiti Networks Inc.
 192.168.8.29    68:72:51:2a:a2:f0      1      60  Ubiquiti Networks Inc.
 192.168.8.32    68:72:51:2a:a2:1c      1      60  Ubiquiti Networks Inc.
 192.168.8.33    68:72:51:2a:f7:3a      1      60  Ubiquiti Networks Inc.
 192.168.8.34    68:72:51:2a:a0:77      1      60  Ubiquiti Networks Inc.
 192.168.8.41    68:72:51:5a:6b:4f      1      60  Ubiquiti Networks Inc.
 192.168.8.42    24:a4:3c:f4:c2:cb      1      42  Ubiquiti Networks Inc.
 192.168.8.51    78:8a:20:e0:ca:4c      1      60  Ubiquiti Networks Inc.
 192.168.8.61    dc:9f:db:62:c6:31      1      60  Ubiquiti Networks Inc.
 192.168.200.22  94:e1:ac:0e:63:9e      1      60  Hangzhou Hikvision Digital Technology Co.,Ltd.
 192.168.38.67   74:27:ea:a7:ce:f6      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.33   74:27:ea:62:7d:a1      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.50.1    7c:5a:1c:59:39:1c      1      60  Sophos Ltd
 0.0.0.0         08:97:34:7e:0f:40      1      60  Hewlett Packard Enterprise
 192.168.4.15    00:80:48:5b:23:b6      1      60  COMPEX INCORPORATED
 192.168.9.1     7c:5a:1c:59:39:19      1      60  Sophos Ltd
 192.168.10.1    80:a1:d7:bc:cc:74      1      60  Shanghai DareGlobal Technologies Co.,Ltd
 0.0.0.0         e0:07:1b:3d:a0:80      1      60  Hewlett Packard Enterprise
 192.168.53.232  24:fd:52:a5:d3:fa      1      60  Liteon Technology Corporation
 192.168.50.141  f4:8e:38:7f:bf:89      1      60  Dell Inc.
 192.168.1.154   04:c8:07:b7:51:d5      1      60  Xiaomi Communications Co Ltd
 192.168.90.16   3c:ef:8c:e6:86:82      1      60  Zhejiang Dahua Technology Co., Ltd.
 192.168.22.1    7c:5a:1c:59:39:19      1      60  Sophos Ltd
 192.168.22.193  44:8a:5b:ae:63:ae      1      60  Micro-Star INT'L CO., LTD.
 192.168.22.208  44:8a:5b:ae:72:2d      1      60  Micro-Star INT'L CO., LTD.
 192.168.25.1    7c:5a:1c:59:39:19      1      60  Sophos Ltd
 192.168.38.34   74:27:ea:62:88:d9      1      60  Elitegroup Computer Systems Co.,Ltd.
